Class.Particle.ID,Class,Area..ABD.,Area..Filled.,Aspect.Ratio,Calibration.Factor,Calibration.Image,Camera,Capture.X,Capture.Y,Circle.Fit,Circularity,Circularity..Hu.,Compactness,Convex.Perimeter,Convexity,Date,Diameter..ABD.,Diameter..ESD.,Diameter..FD.,Edge.Gradient,Elapsed.Time,Elongation,Feret.Angle.Max,Feret.Angle.Min,Fiber.Curl,Fiber.Straightness,Filter.Score,Geodesic.Aspect.Ratio,Geodesic.Length,Geodesic.Thickness,Image.File,Image.Height,Image.Width,Image.X,Image.Y,Intensity,Length,Original.Reference.ID,Particles.Per.Chain,Perimeter,Roughness,Sigma.Intensity,Source.Image,Sphere.Complement,Sphere.Count,Sphere.Unknown,Sphere.Volume,Sum.Intensity,Symmetry,Time,Timestamp,Transparency,Volume..ABD.,Volume..ESD.,Width,Particle.ID,source_file,Biovolume..Cylinder.,Biovolume..P..Spheroid.,Biovolume..Sphere.,tifffile,csvfile,year,sam,month,day,rep,repnum,key,loc,site,doy,gdd2,watert,lat0,lat1,lon0,lon1,avgdepth,trawltime,effspeed,mindepth,maxdepth,xangle,precip,xwaveht,wind,cloud_pc,distshore,fr,volbest,whitefishden,unknwcoregonine,ciscoden,exposure,smeltden,yperchden,burbotden,otherfishden
96,Cyclopoid_1,73514.4547,73514.4547,0.4381,9.47,1,1,857,1580,0.3056,0.6038,0.69,1.6562,1270.266,0.9504,2019-01-15,305.9436,384.8504,305.9436,240.5725,3.703,2.8526,-90,0,0.0109,0.9892,0,0.3506,521.7278,182.8932,20180522_Simcoe_154_2mm_rep2_000001.tif,69,40,782,0,78.0968,516.115,70944371-4144-44D4-855F-9808B37A7EEB,1,1409.2421,1.1094,57.806,32,0,0,0,0,83095,0.6307,4:11:01,2019-01-15T04:11:01.624,0.205,14994190,29845190,241.485,16,20180522_SIMC_154_2mm_rep2_KG_data.csv,,,,20180522_Simcoe_154_2mm_rep2_000001.tif,20180522_SIMC_154_2mm_rep2_KG_data.csv,2018,154,5,22,rep2,2,2018.SIMC.154.2.NA,LSIMC,R061,142,206.721113,13.3,44.44359564,44.44304853,-79.20378679,-79.2027731,4.5,1.65,3.4,4.4,4.6,150,40,1,150-05,100,707.7709707,Random,12.69640923,0,0,0,368771.5336,,0,0,0
27,Calanoid_1,82916.2872,82916.2872,0.6074,9.47,1,1,19,414,0.2997,0.3274,0.7593,3.0546,1358.659,0.8432,2019-01-15,324.9189,412.2083,324.9189,151.6845,3.813,7.4623,-70,10,0.724,0.5801,0,0.134,889.7715,119.2357,20180522_Simcoe_154_2mm_rep2_000001.tif,64,48,38,188,116.1488,516.115,C4955C38-ACDC-428D-A309-1F09FBE1CAD7,1,2018.0144,1.4853,60.9304,33,0,0,0,0,137404,0.3886,4:11:01,2019-01-15T04:11:01.738,0.2118,17960710,36673190,298.305,24,20180522_SIMC_154_2mm_rep2_KG_data.csv,,,,20180522_Simcoe_154_2mm_rep2_000001.tif,20180522_SIMC_154_2mm_rep2_KG_data.csv,2018,154,5,22,rep2,2,2018.SIMC.154.2.NA,LSIMC,R061,142,206.721113,13.3,44.44359564,44.44304853,-79.20378679,-79.2027731,4.5,1.65,3.4,4.4,4.6,150,40,1,150-05,100,707.7709707,Random,12.69640923,0,0,0,368771.5336,,0,0,0
97,Cyclopoid_1,48485.0366,48485.0366,0.3639,9.47,1,1,683,174,0.2464,0.4723,0.6063,2.1174,1156.5398,0.9357,2019-01-15,248.4614,347.7592,248.4614,224.9912,3.922,4.426,-50,45,0.0515,0.951,0,0.2259,542.6978,122.6156,20180522_Simcoe_154_2mm_rep2_000001.tif,56,48,405,188,99.5431,516.115,15BB96A5-EBA3-4513-A4CA-089ECF909067,1,1330.6269,1.1505,63.539,34,0,0,0,0,73861,0.701,4:11:01,2019-01-15T04:11:01.850,0.2855,8031107,22020880,156.255,32,20180522_SIMC_154_2mm_rep2_KG_data.csv,,,,20180522_Simcoe_154_2mm_rep2_000001.tif,20180522_SIMC_154_2mm_rep2_KG_data.csv,2018,154,5,22,rep2,2,2018.SIMC.154.2.NA,LSIMC,R061,142,206.721113,13.3,44.44359564,44.44304853,-79.20378679,-79.2027731,4.5,1.65,3.4,4.4,4.6,150,40,1,150-05,100,707.7709707,Random,12.69640923,0,0,0,368771.5336,,0,0,0
467,Cyclopoid_1,54867.6659,54867.6659,0.3569,9.47,1,1,86,1692,0.0643,0.332,0.5546,3.012,1346.9882,0.8449,2019-01-15,264.3098,409.051,264.3098,134.4615,3.922,7.3261,85,0,0.2439,0.8039,0,0.1365,736.2313,100.4939,20180522_Simcoe_154_2mm_rep2_000001.tif,76,34,1061,188,112.7636,591.875,092797FA-C1B6-4A46-BA3F-EF4BC4DA6B40,1,1673.4503,1.2424,60.4306,34,0,0,0,0,93030,0.2744,4:11:01,2019-01-15T04:11:01.850,0.3538,9668042,35836940,184.665,46,20180522_SIMC_154_2mm_rep2_KG_data.csv,,,,20180522_Simcoe_154_2mm_rep2_000001.tif,20180522_SIMC_154_2mm_rep2_KG_data.csv,2018,154,5,22,rep2,2,2018.SIMC.154.2.NA,LSIMC,R061,142,206.721113,13.3,44.44359564,44.44304853,-79.20378679,-79.2027731,4.5,1.65,3.4,4.4,4.6,150,40,1,150-05,100,707.7709707,Random,12.69640923,0,0,0,368771.5336,,0,0,0
530,Cyclopoid_1,84582.181,84582.181,0.4326,9.47,1,1,574,1761,0.1675,0.36,0.6402,2.7775,1466.5327,0.8193,2019-01-15,328.1667,447.984,328.1667,218.75,3.922,6.5736,-75,15,0.3793,0.725,0,0.1521,842.4878,128.163,20180522_Simcoe_154_2mm_rep2_000001.tif,75,47,1097,188,92.1354,610.815,69C1A8DD-78EB-4727-BB4B-0151FC0A89FF,1,1941.3017,1.3237,61.6544,34,0,0,0,0,110931,0.3809,4:11:01,2019-01-15T04:11:01.850,0.2675,18504700,47074560,241.485,47,20180522_SIMC_154_2mm_rep2_KG_data.csv,,,,20180522_Simcoe_154_2mm_rep2_000001.tif,20180522_SIMC_154_2mm_rep2_KG_data.csv,2018,154,5,22,rep2,2,2018.SIMC.154.2.NA,LSIMC,R061,142,206.721113,13.3,44.44359564,44.44304853,-79.20378679,-79.2027731,4.5,1.65,3.4,4.4,4.6,150,40,1,150-05,100,707.7709707,Random,12.69640923,0,0,0,368771.5336,,0,0,0
885,Cyclopoid_1,123176.5128,123176.5128,0.4192,9.47,1,1,864,677,0,0.2267,0.5803,4.4112,1971.7335,0.7472,2019-01-15,396.0217,608.1842,396.0217,214.3593,4.031,11.7734,70,-5,0.5737,0.6354,0,0.0849,1333.83,113.292,20180522_Simcoe_154_2mm_rep2_000001.tif,103,48,197,272,96.2243,847.565,1D73DC0E-556C-43F3-BDBC-02E0385724B4,1,2894.2441,1.4679,65.1535,35,0,0,0,0,162138,0.2029,4:11:01,2019-01-15T04:11:01.960,0.3488,32520380,117788800,298.305,52,20180522_SIMC_154_2mm_rep2_KG_data.csv,,,,20180522_Simcoe_154_2mm_rep2_000001.tif,20180522_SIMC_154_2mm_rep2_KG_data.csv,2018,154,5,22,rep2,2,2018.SIMC.154.2.NA,LSIMC,R061,142,206.721113,13.3,44.44359564,44.44304853,-79.20378679,-79.2027731,4.5,1.65,3.4,4.4,4.6,150,40,1,150-05,100,707.7709707,Random,12.69640923,0,0,0,368771.5336,,0,0,0
712,Cyclopoid_1,98613.7894,98613.7894,0.3786,9.47,1,1,646,1605,0.0788,0.2969,0.5775,3.3677,1657.9603,0.7902,2019-01-15,354.343,507.4339,354.343,215.9296,4.031,8.4618,45,-45,0.4702,0.6802,0,0.1182,1023.3423,120.9367,20180522_Simcoe_154_2mm_rep2_000001.tif,73,68,458,272,88.6246,696.045,A3F50E96-8F4B-43DB-9D43-9532BF256070,1,2288.5581,1.3803,65.1098,35,0,0,0,0,122302,0.3094,4:11:01,2019-01-15T04:11:01.960,0.3017,23295410,68412730,279.365,58,20180522_SIMC_154_2mm_rep2_KG_data.csv,,,,20180522_Simcoe_154_2mm_rep2_000001.tif,20180522_SIMC_154_2mm_rep2_KG_data.csv,2018,154,5,22,rep2,2,2018.SIMC.154.2.NA,LSIMC,R061,142,206.721113,13.3,44.44359564,44.44304853,-79.20378679,-79.2027731,4.5,1.65,3.4,4.4,4.6,150,40,1,150-05,100,707.7709707,Random,12.69640923,0,0,0,368771.5336,,0,0,0
117,Calanoid_1,78088.4471,78088.4471,0.6264,9.47,1,1,654,176,0.2015,0.3066,0.6601,3.2618,1462.5127,0.685,2019-01-15,315.3178,445.3533,315.3178,211.8708,4.141,8.124,-20,45,0.6604,0.6023,0,0.1231,904.1335,111.2911,20180522_Simcoe_154_2mm_rep2_000001.tif,59,69,809,272,110.7219,544.525,18482E7B-842E-4B2D-9138-1D91512018AA,1,2030.8491,1.3886,62.7062,36,0,0,0,0,124230,0.1203,4:11:02,2019-01-15T04:11:02.073,0.292,16415120,46250090,307.775,65,20180522_SIMC_154_2mm_rep2_KG_data.csv,,,,20180522_Simcoe_154_2mm_rep2_000001.tif,20180522_SIMC_154_2mm_rep2_KG_data.csv,2018,154,5,22,rep2,2,2018.SIMC.154.2.NA,LSIMC,R061,142,206.721113,13.3,44.44359564,44.44304853,-79.20378679,-79.2027731,4.5,1.65,3.4,4.4,4.6,150,40,1,150-05,100,707.7709707,Random,12.69640923,0,0,0,368771.5336,,0,0,0
159,Cyclopoid_1,73829.3616,73829.3616,0.6126,9.47,1,1,592,1127,0.2035,0.384,0.6727,2.6043,1490.1717,0.6955,2019-01-15,306.5982,454.2967,306.5982,170.6303,4.141,6.0153,-35,65,0.4442,0.6924,0,0.1662,759.0391,126.1848,20180522_Simcoe_154_2mm_rep2_000001.tif,59,63,1075,272,108.2369,525.585,DF0BBA78-D1E0-4F84-86BF-A764C6755EB8,1,1770.4478,1.1881,64.5943,36,0,0,0,0,115597,0.1325,4:11:02,2019-01-15T04:11:02.073,0.3251,15090630,49092760,336.185,70,20180522_SIMC_154_2mm_rep2_KG_data.csv,,,,20180522_Simcoe_154_2mm_rep2_000001.tif,20180522_SIMC_154_2mm_rep2_KG_data.csv,2018,154,5,22,rep2,2,2018.SIMC.154.2.NA,LSIMC,R061,142,206.721113,13.3,44.44359564,44.44304853,-79.20378679,-79.2027731,4.5,1.65,3.4,4.4,4.6,150,40,1,150-05,100,707.7709707,Random,12.69640923,0,0,0,368771.5336,,0,0,0
936,Cyclopoid_1,181782.9026,181947.6725,0.6081,9.47,1,1,91,1157,0,0.3146,0.7037,3.1783,2211.4164,0.6832,2019-01-15,481.0958,684.2075,481.3138,227.1795,4.141,7.8578,-55,50,0.4392,0.6948,0,0.1273,1301.5702,165.6406,20180522_Simcoe_154_2mm_rep2_000001.tif,95,75,0,377,70.2839,904.385,CD276BC9-C7AF-45F1-B831-8C047DB2903D,1,2934.4216,1.3269,63.2973,36,0,0,0,0,168822,0.1178,4:11:02,2019-01-15T04:11:02.073,0.2969,58303330,167711200,478.235,71,20180522_SIMC_154_2mm_rep2_KG_data.csv,,,,20180522_Simcoe_154_2mm_rep2_000001.tif,20180522_SIMC_154_2mm_rep2_KG_data.csv,2018,154,5,22,rep2,2,2018.SIMC.154.2.NA,LSIMC,R061,142,206.721113,13.3,44.44359564,44.44304853,-79.20378679,-79.2027731,4.5,1.65,3.4,4.4,4.6,150,40,1,150-05,100,707.7709707,Random,12.69640923,0,0,0,368771.5336,,0,0,0
